"filename", "language", "Rust", "Shell Script", "JavaScript", "Docker", "MS SQL", "TypeScript", "CSS", "JSON", "JSON with Comments", "HTML", "Markdown", "comment", "blank", "total"
"/Users/sunplix/rust-ctf/frontend/src/locales/runtime.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -8304, 0, 0, 0, 0, -1, -8305
"/Users/sunplix/rust-ctf/frontend/src/main.ts", "TypeScript", 0, 0, 0, 0, 0, -13, 0, 0, 0, 0, 0, 0, -5, -18
"/Users/sunplix/rust-ctf/frontend/src/router/index.ts", "TypeScript", 0, 0, 0, 0, 0, -115, 0, 0, 0, 0, 0, 0, -11, -126
"/Users/sunplix/rust-ctf/frontend/src/stores/app.ts", "TypeScript", 0, 0, 0, 0, 0, -140, 0, 0, 0, 0, 0, 0, -22, -162
"/Users/sunplix/rust-ctf/frontend/src/stores/auth.ts", "TypeScript", 0, 0, 0, 0, 0, -139, 0, 0, 0, 0, 0, 0, -20, -159
"/Users/sunplix/rust-ctf/frontend/src/stores/index.ts", "TypeScript", 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, -2, -4
"/Users/sunplix/rust-ctf/frontend/src/stores/ui.ts", "TypeScript", 0, 0, 0, 0, 0, -230, 0, 0, 0, 0, 0, 0, -40, -270
"/Users/sunplix/rust-ctf/frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, -1, -21
"/Users/sunplix/rust-ctf/frontend/tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, -1, -10
"/Users/sunplix/rust-ctf/frontend/tsconfig.tsbuildinfo", "JSON", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"/Users/sunplix/rust-ctf/frontend/vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, -1, -3, -18
"Total", "-", 18513, 953, -269, 14, 528, -3724, -1143, -20337, -20, -12, -72, 10, 1606, -3953
